S_ID,PLACE_ID,PLACE_NAME,DESCRIPTION,LATITUDE,LONGITUDE,AREA,CITY,DISTRICT,STATE,COUNTRY,PINCODE,CATEGORY,VISIT_TIME,RATING,TAG_1,TAG_2,TAG_3
14,INOD03014,SAILASHREE PALACE,Sailashree Palace Complex is situated in Balangir city and is 3.5 km distance from the Balagir railway station. The Palace Complex also known as the Balangir Palace. This palace is belonging to the Royal Family of Balangir. There is a Beautiful Shiva Temple also present in the Palace Complex. The Sailashree Palace complex is opened to the public only on Kartik Purnima. Balangir palace was built and ruled by Raja Rajendra Narayan Singh. Sailashree Palace Complex is one of the famous King palace in Odisha.,20.6934774,83.46846565,BALANGIR,BALANGIR,BALANGIR,ODISHA,INDIA,767001,PALACE,ALL TIME,8,HISTORICAL,ROYAL,SPIRITUAL
15,INOD03015,CHAUSATH YOGINI TEMPLE,"Ranipur Jharial is known as Soma Tirtha houses one among the four existing HYPAETHRAL TEMPLES dedicated to sixty-four Yoginis in India. It is a wonderful architecture of archaeological heritage and cultural history of Odisha. Ranipur Jharial was a stronghold of Shakta, Buddhism, Shaiva, Vaishnava and Tantric ideology. According to history, the worship of Yogini began in India in the ninth century. Ranipur Jhariel is one of the four Hindu temples in India. There are several temples at Ranpur Jhariel. Of these, Someshwar Shiva Temple is the largest. In addition to these temples, there are 56 other temples. There were several other temples in the area before the demolition.The main festival of this temple is Mahashiva Ratri, On this day, thousands of devotees come here to worship Lord Shiva.",20.28350772,82.96415442,BAKAGURA,KANTABANJI,BALANGIR,ODISHA,INDIA,767040,TEMPLES,ALL TIME,9,SPIRITUAL,ARCHITECTURE,MYTHOLOGICAL
16,INOD04016,AAPKHOL WATERFALLS,"Aapkhol waterfall is located inside the Debrigarh Wildlife Sanctuary near Sardhapali Village, and It is 15 km distance from Bhatli and 39 km from the Bargarh Bus stand. The waterfall comes after a 4 km hill trek to reach this place. The adventure of the waterfall and the environment is enjoyable. This waterfall is surrounded by beautiful hills and dense forest. The scenic beauty of the Aapkhol is so beautiful that tourists have come to see the falls in the winter. This Debrigarh Sanctuary includes Badaa Paan Waterfall (waterpark), which is located near Aapkhol. Tourists can enjoy bathing in this place. Aapkhol waterfall is one of  the best tourist places in Odisha. ",21.54911609,83.59303125,DEBRIGARH,BHATLI,BARAGARH,ODISHA,INDIA,768030,WATERFALLS,WINTER,8,NATURAL,HILLS,ADVENTURE
17,INOD04017,BARABAKHARA WATERFALL & CAVE,Barabakhara Waterfall is located at Ambavhana in the Barapahad hill range. It is around 47 km from Bargarh town. The Waterfall is covered with hills and dense forest. Veer Surendra Sai hidden in Bara Bakhra Caves. Barabakhara cave is associated with the history of Veer Surendra Sai. The water from the Barabakhara waterfall flows through the hills and flows through two waterfalls. The beautiful natural environment and the wondrous sound of the waterfall attract the visiter during winter. ,21.58217181,83.5723644,BHANJIPALI,AMBABHONA,BARAGARH,ODISHA,INDIA,768052,HILLS,WINTER,8,WATERFALL,NATURAL,CAVES
18,INOD04018,SHYAMA KALI TEMPLE,"The Shyama Kali Temple is located only one km away from Bargarh town at Kali Mandir Chowk. Goddess Maa Shyamakali is worshipped by the devotees. Devotees come here to get a wish from Maa Kali. Besides the Kali temple Lord Jagannath, Lord Ganesh, and Lord Shani worshipped here. Kali puja is one of the big festivals at Shyama Kali temple. The architecture of this Kali temple is very interesting to see. Thousands of visitors and devotees come to the temple for panoramic views of the temple. Jagannath temple, Ganesh temple, lord Hanuman, Sani temple, and Shiva temple are worshipped within the premises of Maa Kali temple. Maa Shyamakali Mandir is one of the most famous temples in Bargarh, Odisha. ",21.33505546,83.62382789,BARGARH,BARGARH,BARAGARH,ODISHA,INDIA,768028,TEMPLES,ALL TIME,9,SPIRITUAL,ARCHITECTURE,DEVI PUJA
19,INOD04019,PATHARSENI TEMPLE,"Patharseni Temple is situated on the bank of the river Mahanadi and at the northern end of the Barapahad forest range. It is 13 km from Ambabhona and around 50 km from Bargarh Town. Goddess Patharasini is worshipped here in a temple. Patharseni Surrounded by dense forest, it exists in between the Bandijharia fountain and the Kedarnath fountain. The Chandrasini of Chandrapur, Padmasini of Padampur and Patharasini of Arjunda are sisters according to a legend. It is a famous viewing spot near Badjampali Jagannath Mandir. Patharseni Temple is one of the tourist places in Bargarh, Odisha.",21.65283128,83.50995541,DUNGRI,AMBABHONA,BARAGARH,ODISHA,INDIA,768052,TEMPLES,ALL TIME,8,SPIRITUAL,FOREST,MYTHOLOGICAL
20,INOD04020,SWAPNESWAR TEMPLE,"Swapneswar Shiva temple is located in Sorna village. It is 35 km distance from the Bargarh district headquarters. It was built during the Kingship of Ajit Singh in Sambalpur under the supervision of Dewan Dakshinray. Lord Shiva is the presiding deity of the place. There is a big pond in front of the temple covering an area of 6 acres. Mahashivratri is a famous festival in this place. The Barada Balunkeswara temple is one of the Ashtashambhu temples in western Odisha. The 8 Asta-Sambhu Shiva Temples such as Bimaleswar Temple at Huma (Sambalpur), Kedarnath Temple at Ambabhona (Bargarh), Baidyanath Temple at Deogaon (Bargarh), Balunkeswar Temple at Gaisama (Bargarh), Mandhata Baba Temple at Maneswar (Sambalpur), Swapneswar Temple at Sorna (Bargarh), Visweswar Temple at Soranda (Bargarh), Nilakantheswar Temple at Nilji (Bargarh).",21.29421642,83.81785533,SORNA,BHEDEN,BARAGARH,ODISHA,INDIA,768103,TEMPLES,ALL TIME,10,SPIRITUAL,HISTORICAL,MYTHOLOGICAL
21,INOD05021,CHANDIPUR BEACH,"Chandipur is a secluded seaside village of Baleshwar district stored safely on the coastline of Orissa. Chandipur is also locally known as Chandipur-on-sea. If nature's wonder fascinates you, Chandipur Beach is an amazing place to be. The unique specialty of this beach is the ebb tides that recede around 1 to 4 km during low tides and they tend to disappear rhythmically. This has a spectacular view of the rising sun and also of the sun drowning somewhere beyond waters providing feast to the eyes. When the water disappears, you can even take jeep ride towards the sea.",21.45194621,87.04058449,CHANDIPUR,BALASORE,BALASORE,ODISHA,INDIA,756025,BEACHES,ALL TIME,9,NATURAL,WINTER,ADVENTURE
22,INOD05022,KHIRACHORA TEMPLE,"Khirachora Gopinatha Temple is situated in Remuna and 9 km distance from Balasore. It is a centre of Saivite Culture. Khirachora Gopinath is the presiding deity of the place. A temple dedicated to Lord Krishna. Who is the form of Gopinath steals milk is the prime attraction of this place. It is also one of the Vaishnava centres of the country visited by Sri Chaitanya. Remuna Khirachora Gopinath temple is a famous temple in Balasore, Odisha. The story says that more than 500 years ago Madhavendra Puri was on the way to Puri for getting some scented sandalwood, for the Deity Sri Gopal of Vrindavana. But, he stopped for some time in Gopinath at Remuna and he felt very happy to see Gopinatha. When he saw the preparation of Kshira, then he wanted to taste that so he may easily complete the preparation of Kshira for Sri Gopal, in the same way. Remuna Khirachora Gopinath temple is one of the popular tourist places in Balasore, Odisha.",21.53810721,86.87977951,REMUNA,BALASORE,BALASORE,ODISHA,INDIA,756019,TEMPLES,ALL TIME,10,SPIRITUAL,MYTHOLOGICAL,WORLD FAMOUS
23,INOD05023,EMAMI JAGANNATH TEMPLE,"The tall and beautiful Emami Jagannath Temple is located at a distance of 7 km from Balasore town. This temple is a wonderful architectural model with red stone constructed by Emami which attracts a  number of visitors to this place. The stone carving and the monumental craft draw the attraction of visitors. Shree Jagannath Mandir is dubbed to be Odisha’s second Puri Jagannath temple. The Emami Jagannath Temple appears as if it has been built on the wheels of a big chariot. The seventy-eight feet high scintillating shrine has been constructed on a sprawling three acres of land on the premises of Balasore town Balgopalpur initiated by the Emami Paper Mill Limited. The temple appears as if it is built on the wheels of a big chariot. The temple of Lord Jagannath has been built in an area of 4300 square feet. There are temples of Lord Shiva, Maa Bimala, Goddess Laxmi, Lord Ganesh and Sankat Mochan Hanuman inside the campus built in an area of 380 square feet each.",21.5364521,86.83065544,REMUNA,BALASORE,BALASORE,ODISHA,INDIA,756019,TEMPLES,ALL TIME,10,SPIRITUAL,ARCHITECTURE,JAGANNATH
24,INOD05024,PANCHALINGESWAR TEMPLE,"The Panchalingeswar temple is located on a hill called Devgiri near Nilagiris. It is 30 km distance from Balasore town and 10 km from Nilagiri Jagannath temple. Five Shiva linga are worshipped here. The perennial stream flows on the five Lingams constantly throughout the year. It was the capital of Banasur who had established here five Lingams for the public so that the place is called Panchalingeswar. To reach this temple, one has to climb about 300 steps. It is believed that devotees come to worship and touch these five Lingams in the spring, and Touching these five lingams inside the stream fulfills their wishes. The Panchalingeswar Hill Station is a tourist attraction places in Balasore, Odisha.",21.41317514,86.71986617,PANCHALINGESWAR,NILAGIRI,BALASORE,ODISHA,INDIA,756058,TEMPLES,ALL TIME,10,SPIRITUAL,MYTHOLOGICAL,ADVENTURE
25,INOD05025,KULDIHA WILDLIFE SANCTUARY,"Kuldiha Wildlife Sanctuary is spread across 272 km in the Chota Nagpur Plateau region. It is connected with Simlipal National Park, Sukhupada and Nato hill ranges. The Sanctuary includes Kuldiha, Devgiri and Tenda Reserved Forests and other Protected Forests. Kuldiha sanctuary area, adjoining Nilgiri forest in the North and Mayurbhanj Forest in the West, is a typical representative of a mixture of peninsular (coastal) Sal forest and moist mixed deciduous forest. It comes in the Biogeographic region of the Deccan peninsular zone which is of enormous genetic and ecological importance with a variety of flora and fauna.",21.43485392,86.64676051,KULDIHA,NILAGIRI,BALASORE,ODISHA,INDIA,756058,SANCTUARY,WINTER,9,NATURAL,WILDLIFE,HILLS
26,INOD06026,DHAMARAI TEMPLE,Maa Dhamarai Temple is located at Dhamra near a small coastal township. It is about 60 km distance from Bhadrak town and on the coast of the Bay of Bengal. Goddess Maa Dhamarai is worshipped by a widow of the fisherman community. Devotees come here to get a wish from Maa Dhamrai. Makar Sankranti is the main festival of this temple. There are many folk tales and legends regarding the deity and the temple. ,20.79493219,86.89406331,DHAMARA,BASUDEBPUR,BHADRAK,ODISHA,INDIA,756171,TEMPLES,ALL TIME,9,SPIRITUAL,WINTER,DEVI PUJA
27,INOD06027,MAA BHADRAKALI TEMPLE,"Maa Bhadrakali temple is situated at a distance of 5 km away from Bhadrak town in the southwest direction. Maa Bhadrakali Temple is a famous temple in the Bhadrak district. The statue of goddess Bhadrakali is made of black granite and sits in a lotus posture on the lion. The Local people of the area have a lot of faith in the goddess that the mother fulfils their wishes. The environment of the place is very calm and quiet. Maa Bhadra Kali temple is a famous temple in Bhadrak, Odisha.",21.01555658,86.53667618,AHARAPADA,BHADRAK,BHADRAK,ODISHA,INDIA,756128,TEMPLES,ALL TIME,10,SPIRITUAL,MYTHOLOGICAL,GODDESS
28,INOD06028,AKHANDALAMANI TEMPLE,"Akhandalamani Temple is situated at Aradi village. It is 40 km distance from Bhadrak and 136 km from Bhubaneswar. Lord Shiva is worshipped in this temple. According to history, that Linga was discovered from ploughed land by a farmer at the time of ploughing. The farmer found blood on the shiv linga by the rushing of the ploughshare. This Linga is known as an Akhandalamani who remit the people’s misery. Baba Akhandalamani mandir is one of the famous temple in Bhadrak District. Mahashivratri is the main festival of this temple, celebrated every year in this famous Aradi temple and attracts a large number of devotees to observe the festival. During the month of shravan, Kaudias bring water from different parts of Odisha and pour water on Mahadev. Aradi Akhandalamani Shiva Temple is a tourist attraction places in Bhadrak, Odisha.",20.82648624,86.65598706,ARADI,CHANDABALI,BHADRAK,ODISHA,INDIA,756138,TEMPLES,ALL TIME,9,SPIRITUAL,MYTHOLOGICAL,MONSOON
29,INOD06029,RAKTATIRTHA ERAM,"Raktatirtha Eram smruti stambha is a famous place of sacrifice is located 16 km distance from Basudebpur of Bhadrak district. One side of the land was bounded by the Bay of Bengal and the other three sides are surrounded by two rivers known as Gameye and Kansabansa. This place was used as a citadel by the freedom fighters. Due to these natural boundaries, it was not easy for the police and administrative persons to enter this place. In 1920 prominent nationalist leaders of Odisha, like Utkalmani Gopabandhu Das and Utkal Kesari, Dr H.K. Mahatab are public meetings at Raktatirtha Eram. Many times to propagate the Gandhian ideals of freedom struggle. ",21.15720434,86.78890142,ERAM,BASUDEVPUR,BHADRAK,ODISHA,INDIA,756162,MONUMENTS,ALL TIME,8,HISTORICAL,FREEDOM,INDEPENDENCE
30,INOD06030,DHAMRA PORT,"Dhamra Port is located on the seashore at the mouth of the river Baitarani. It is 65 km distance from Bhadrak town and 45 km from Chandbali. The meeting place of the rivers Bharmani and Baitarani is a thrilling site that attracts visitors to enjoy the scenic beauty of the confluence of rivers and adjacent sea beaches. Dhamarai temple is located 10 km distance from Dhamra Port.  The port facilities are equipped with the latest cargo-handling infrastructure which is not only best-in-class but also capable of handling the largest vessels calling at Indian shores. Our ports are equipped to handle diverse cargo, from dry cargo, liquid cargo, and crude to containers.",20.79617576,86.89923571,DHAMARA,BASUDEVPUR,BHADRAK,ODISHA,INDIA,756171,PORTS,ALL TIME,8,NATURAL,INFRASTRUCTURE,OCEAN
31,INOD07031,BARABATI FORT,"Barabati Fort is situated in the heart of the city. It is about 8 km distance from Cuttack Town. The Ananga Bhima Deb built the Fort during the Ganga dynasty on the bank of the river Mahanadi. Nowadays only nine-storeyed palaces stand as a witness of the Ganga dynasty despite the ups and downs of the history of Odisha. The dilapidated Fort has surrounded by 40 feet wide moat. The area occupies 12 Baties invaders Kalapahad in 1268 AD. Once upon a time the Muslim ruler Sirajuddaula was imprisoned and remained in this fort for some time. The fort was occupied by the British in October 1803. Now only the ruins of the fort remain as the symbol of the Ganga dynasty. Barabati Fort is a tourist attraction place near Cuttack town. This palace had nine Asians. Later on, the Persian word Asiana was misunderstood and it was misinformed that Mukundadev had built a nine-storied palace there.",20.48478234,85.8651767,TULSIPUR,CUTTACK SADAR,CUTTACK,ODISHA,INDIA,753008,MONUMENTS,ALL TIME,9,HISTORICAL,ROYAL,ARCHITECTURE
32,INOD07032,MAA CUTTACK CHANDI TEMPLE,"Chandi Temple is a famous Sakhtipitha of Cuttack city nearby the banks of the Mahanadi River. Goddess Katak Chandi is worshiped as the main deity by the local devotees of Cuttack. The goddess popularly called Maa Kataka Chandi sits and rules in the heart of the ancient city. Chandi with much faith and serenity. Ma katak Chandi is one of the famous Shakti Pithas of Cuttack. Cuttack is Odisha famous for Durga Puja, so Maa Chandi’s temple is in the city, so this is the main festival. Hence, to celebrate this festival, a large number of devotees from all the districts of the state gather here to worship Goddess Chandi and enjoy Durga Puja. The Cuttack Chandi Temple is one of the most famous temples in Cuttack District.",20.47812735,85.86253319,CUTTACK,CUTTACK SADAR,CUTTACK,ODISHA,INDIA,753008,TEMPLES,ALL TIME,9,SPIRITUAL,AUTUMN,DEVI PUJA
33,INOD07033,DHABALESWAR TEMPLE,"Dhabaleswar is popular for the temple of Lord Shiva that stands on a hillock in the middle of river Mahanadi. Located in an island on the river near Mancheswar village of Athagarh block, 37 km from Cuttack city, the temple is embellished with stone carvings that date back to the early 10th and 11th century. It is said King Purusottam Dev established the temple in the middle of river Mahanadi so that his queen Padmabati could worship Shiva. Here 'Bada Osha' is considered the most auspicious of festivals. It draws devotees in lakhs and is celebrated with religious fervour. 'Bada Osha' is observed just a day before Kartika Purnima in November. The added attraction to the shrine is country's longest suspension bridge which connects the island to the mainland.",20.50435309,85.80346892,PAIKERAPUR,CUTTACK,CUTTACK,ODISHA,INDIA,753007,TEMPLES,ALL TIME,10,SPIRITUAL,MYTHOLOGICAL,ADVENTURE
34,INOD07034,LALITGIRI BUDDHIST COMPLEX,"Lalitgiri Buddhist Complex is located about 85 km distance from Bhubaneswar and 55 km from Cuttack City. It is one of the earliest Buddhist complexes, dating back to the 1st century AD. Many votive Stupas and rock stupas can be seen at the top of the Lalitagiri Complex, and the sandstone hills dominate the surrounding beauty. This Buddhist heritage site is near Ratnagiri and Udayagiri, known as the Diamond Triangle. Lalitagiri is one of the ancient Buddhist heritage site in Odisha. There are five monasteries, one Stupa and a museum inside the Lalitagiri campus, where you can see many ancient statues and sculptures which date back to 5 to 6th centuries. Once upon a time, it was a Buddhist university called Puspagiri. Students from Japan, China, and Indonesia come here to learning.",20.59055658,86.25234645,LALITAGIRI,SALIPUR,CUTTACK,ODISHA,INDIA,754206,MONUMENTS,ALL TIME,8,HISTORICAL,ARCHITECTURE,SPIRITUAL
35,INOD07035,NETAJI BIRTH PLACE MUSEUM,"The name of Netaji Subhas Chandra Bose fills every Indian with pride and with emotions of patriotism. Everyone acknowledges that he was a great leader, who changed the course of the history of India. In the struggle for India’s Independence against the British, his Contribution has been unique. He sacrificed his everything to attain independence and even today is a source of inspiration to the Indian people. Janakinath Bhawan, the ancestral house of Netaji Birth Place Museum, is located at Oriya Bazar in Cuttack city of Odisha.",20.4701854,85.86678401,CUTTACK,CUTTACK SADAR,CUTTACK,ODISHA,INDIA,753002,MUSEUM,ALL TIME,8,HISTORICAL,FREEDOM,INDEPENDENCE
36,INOD08036,PRADHANPAT WATERFALL,"The Pradhanpat waterfall is a famous picnic spot having a natural panorama. It is just 1 km distance from Deogarh town. Having strong religious significance and reach cultural heritage with the presence of Saktipitha of Maa Pradhani and the temple of lord Chamkeswar. The clean, transparent glittering cold water enthrals tourists and visitors to come to this spot. It gives a peaceful glimpse and serenity of water falling wind, and it’s an amazing feeling for visitors to a take bath.",21.55142231,84.73951121,DEOGARH,DEOGARH,DEBAGARH,ODISHA,INDIA,768108,WATERFALLS,WINTER,9,SPIRITUAL,NATURAL,HILLS
37,INOD08037,DEOGARH RAJBATI PALACE,"The Deogarh palace was built by Raja Sir Basudeb Sudhal Deb in the year 1896. It remains in the use of the former royals of the Ganga dynasty. The Deogarh Rajabati is a huge structure and within its walls are located the royal residential quarters, recreation hall, residential offices, storehouses, guest accommodation, art and artefact gallery, library, the Parishad Hall, Rani Mahal, royal kitchen. The old magazine room for storing armoury and ammunition, secret chambers for storage of treasure and old precious items and above all temple of Maa Kanaka Durga.",21.53857199,84.72047178,PHULAPATHARAKHOLA,DEOGARH,DEBAGARH,ODISHA,INDIA,768108,PALACE,ALL TIME,8,HISTORICAL,ROYAL,ARCHITECTURE
